suite,impl,parallelism,grid_size,repetition,wall_time_ms
parallel,processes,6,500,7,1390.029
parallel,processes,6,1000,7,1438.031
parallel,processes,6,2000,7,1421.541
parallel,processes,6,4000,7,1461.069
parallel,processes,6,6000,7,1486.389
parallel,processes,6,8000,7,0.319
parallel,processes,6,500,8,1393.931
parallel,processes,6,1000,8,1454.458
parallel,processes,6,2000,8,1439.317
parallel,processes,6,4000,8,1466.012
parallel,processes,6,6000,8,1472.183
parallel,processes,6,8000,8,0.319
parallel,processes,6,500,9,1402.734
parallel,processes,6,1000,9,1406.913
parallel,processes,6,2000,9,1440.534
parallel,processes,6,4000,9,1456.003
parallel,processes,6,6000,9,1454.926
parallel,processes,6,8000,9,0.345
parallel,processes,6,500,10,1470.316
parallel,processes,6,1000,10,1450.119
parallel,processes,6,2000,10,1440.875
parallel,processes,6,4000,10,1447.340
parallel,processes,6,6000,10,1448.600
parallel,processes,6,8000,10,0.392
parallel,processes,8,6000,1,1859.401
parallel,processes,8,6000,2,1810.602
parallel,processes,8,6000,3,1830.386
parallel,processes,8,6000,4,1819.860
parallel,processes,8,6000,5,1852.786
parallel,processes,8,500,6,1768.642
parallel,processes,8,1000,6,1768.821
parallel,processes,8,2000,6,1750.860
parallel,processes,8,4000,6,1821.367
parallel,processes,8,6000,6,1790.776
parallel,processes,8,8000,6,0.388
parallel,processes,8,500,7,1811.992
parallel,processes,8,1000,7,1789.558
parallel,processes,8,2000,7,1803.341
parallel,processes,8,4000,7,1814.650
parallel,processes,8,6000,7,1830.885
parallel,processes,8,8000,7,0.384
parallel,processes,8,500,8,1769.356
parallel,processes,8,1000,8,1773.287
parallel,processes,8,2000,8,1752.327
parallel,processes,8,4000,8,1819.319
parallel,processes,8,6000,8,1793.859
parallel,processes,8,8000,8,0.388
parallel,processes,8,500,9,1788.983
parallel,processes,8,1000,9,1811.091
parallel,processes,8,2000,9,1806.210
parallel,processes,8,4000,9,1819.318
parallel,processes,8,6000,9,1876.739
parallel,processes,8,8000,9,0.393
parallel,processes,8,500,10,1755.982
parallel,processes,8,1000,10,1749.287
parallel,processes,8,2000,10,1807.156
parallel,processes,8,4000,10,1777.480
parallel,processes,8,6000,10,1829.469
parallel,processes,8,8000,10,0.388
parallel,processes,12,6000,1,2577.203
parallel,processes,12,6000,2,2533.932
parallel,processes,12,6000,3,2533.506
parallel,processes,12,6000,4,2536.066
parallel,processes,12,6000,5,2524.086
parallel,processes,12,500,6,2527.415
parallel,processes,12,1000,6,2595.936
parallel,processes,12,2000,6,2471.716
parallel,processes,12,4000,6,2564.295
parallel,processes,12,6000,6,2594.052
parallel,processes,12,8000,6,0.527
parallel,processes,12,500,7,2560.977
parallel,processes,12,1000,7,2462.832
parallel,processes,12,2000,7,2553.128
parallel,processes,12,4000,7,2533.718
parallel,processes,12,6000,7,2548.885
parallel,processes,12,8000,7,0.521
parallel,processes,12,500,8,2584.818
parallel,processes,12,1000,8,2605.978
parallel,processes,12,2000,8,2534.112
parallel,processes,12,4000,8,2495.886
parallel,processes,12,6000,8,2612.992
parallel,processes,12,8000,8,0.526
parallel,processes,12,500,9,2458.374
parallel,processes,12,1000,9,2578.257
parallel,processes,12,2000,9,2533.043
parallel,processes,12,4000,9,2511.863
parallel,processes,12,6000,9,2558.298
parallel,processes,12,8000,9,0.514
parallel,processes,12,500,10,2525.941
parallel,processes,12,1000,10,2563.229
parallel,processes,12,2000,10,2495.372
parallel,processes,12,4000,10,2477.920
parallel,processes,12,6000,10,2532.259
parallel,processes,12,8000,10,0.527
